date, pm25, pm10, o3, no2, so2, co
2018/11/16, 22, , , , , 
2018/11/17, 20, , , , , 
2018/11/18, 25, , , , , 
2018/11/19, 230, , , , , 
2018/11/20, 31, , , , , 
2018/11/21, 36, , , , , 
2018/11/22, 29, , , , , 
2018/11/23, 27, , , , , 
2018/11/24, 24, , , , , 
2018/11/25, 21, , , , , 
2018/11/26, 26, , , , , 
2018/11/27, 31, , , , , 
2018/11/28, 34, , , , , 
2018/11/29, 27, , , , , 
2018/11/30, 29, , , , , 
2018/12/1, 21, , , , , 
2018/12/2, 17, , , , , 
2018/12/3, 17, , , , , 
2018/12/4, 19, , , , , 
2018/12/6, 43, , , , , 
2018/12/7, 33, , , , , 
2018/12/8, 35, , , , , 
2018/12/9, 34, , , , , 
2018/12/10, 30, , , , , 
2018/12/11, 29, , , , , 
2018/12/12, 42, , , , , 
2018/12/13, 27, , , , , 
2018/12/14, 35, , , , , 
2018/12/15, 51, , , , , 
2018/12/16, 31, , , , , 
2018/12/17, 27, , , , , 
2018/12/18, 21, , , , , 
2018/12/19, 23, , , , , 
2018/12/21, 26, , , , , 
2018/12/22, 16, , , , , 
2018/12/23, 10, , , , , 
2018/12/24, 18, , , , , 
2018/12/25, 23, , , , , 
2018/12/26, 18, , , , , 
2018/12/27, 30, , , , , 
2018/12/28, 48, , , , , 
2018/12/29, 35, , , , , 
2018/12/30, 37, , , , , 
2018/7/1, 33, , , , , 
2018/7/2, 55, , , , , 
2018/7/3, 29, , , , , 
2018/7/4, 22, , , , , 
2018/7/5, 19, , , , , 
2018/7/6, 15, , , , , 
2018/7/7, 20, , , , , 
2018/7/8, 28, , , , , 
2018/7/9, 30, , , , , 
2018/7/10, 24, , , , , 
2018/7/11, 19, , , , , 
2018/7/12, 34, , , , , 
2018/7/13, 63, , , , , 
2018/7/14, 67, , , , , 
2018/7/15, 43, , , , , 
2018/7/16, 22, , , , , 
2018/7/17, 18, , , , , 
2018/7/18, 9, , , , , 
2018/7/20, 19, , , , , 
2018/7/21, 27, , , , , 
2018/7/22, 28, , , , , 
2018/7/23, 17, , , , , 
2018/7/24, 21, , , , , 
2018/7/25, 32, , , , , 
2018/7/26, 31, , , , , 
2018/7/27, 27, , , , , 
2018/7/28, 29, , , , , 
2018/7/29, 25, , , , , 
2018/7/30, 16, , , , , 
2018/7/31, 21, , , , , 
2018/8/1, 24, , , , , 
2018/8/2, 39, , , , , 
2018/8/3, 22, , , , , 
2018/8/4, 12, , , , , 
2018/8/5, 13, , , , , 
2018/8/6, 5, , , , , 
2018/8/7, 9, , , , , 
2018/8/8, 16, , , , , 
2018/8/9, 29, , , , , 
2018/8/10, 22, , , , , 
2018/8/11, 17, , , , , 
2018/8/12, 14, , , , , 
2018/8/13, 18, , , , , 
2018/8/14, 23, , , , , 
2018/8/15, 15, , , , , 
2018/8/16, 26, , , , , 
2018/8/17, 27, , , , , 
2018/8/18, 16, , , , , 
2018/8/19, 17, , , , , 
2018/8/20, 25, , , , , 
2018/8/21, 20, , , , , 
2018/8/22, 25, , , , , 
2018/8/23, 33, , , , , 
2018/8/24, 48, , , , , 
2018/8/25, 67, , , , , 
2018/8/26, 70, , , , , 
2018/8/27, 35, , , , , 
2018/8/28, 39, , , , , 
2018/9/1, 19, , , , , 
2018/9/2, 22, , , , , 
2018/9/3, 28, , , , , 
2018/9/4, 33, , , , , 
2018/9/5, 34, , , , , 
2018/9/6, 13, , , , , 
2018/9/7, 16, , , , , 
2018/9/8, 36, , , , , 
2018/9/9, 18, , , , , 
2018/9/10, 21, , , , , 
2018/9/11, 24, , , , , 
2018/9/12, 22, , , , , 
2018/9/13, 27, , , , , 
2018/9/14, 20, , , , , 
2018/9/15, 11, , , , , 
2018/9/16, 11, , , , , 
2018/9/17, 16, , , , , 
2018/9/18, 11, , , , , 
2018/9/19, 13, , , , , 
2018/9/20, 21, , , , , 
2018/9/21, 23, , , , , 
2018/9/22, 29, , , , , 
2018/9/23, 29, , , , , 
2018/9/24, 18, , , , , 
2018/9/25, 21, , , , , 
2018/9/26, 23, , , , , 
2018/9/27, 32, , , , , 
2018/9/28, 15, , , , , 
2018/9/29, 11, , , , , 
2018/9/30, 19, , , , , 
2018/4/1, 31, , , , , 
2018/4/2, 32, , , , , 
2018/4/3, 26, , , , , 
2018/4/4, 24, , , , , 
2018/4/5, 46, , , , , 
2018/4/6, 51, , , , , 
2018/4/7, 25, , , , , 
2018/4/8, 35, , , , , 
2018/4/9, 45, , , , , 
2018/4/10, 47, , , , , 
2018/4/11, 47, , , , , 
2018/4/12, 51, , , , , 
2018/4/13, 37, , , , , 
2018/4/14, 21, , , , , 
2018/4/15, 18, , , , , 
2018/4/16, 20, , , , , 
2018/4/17, 34, , , , , 
2018/4/18, 36, , , , , 
2018/4/19, 60, , , , , 
2018/4/20, 85, , , , , 
2018/4/21, 96, , , , , 
2018/4/22, 113, , , , , 
2018/4/23, 85, , , , , 
2018/4/24, 61, , , , , 
2018/4/25, 52, , , , , 
2018/4/26, 38, , , , , 
2018/4/27, 37, , , , , 
2018/4/28, 32, , , , , 
2018/4/29, 31, , , , , 
2018/4/30, 29, , , , , 
2018/5/1, 83, , , , , 
2018/5/2, 81, , , , , 
2018/5/3, 48, , , , , 
2018/5/4, 21, , , , , 
2018/5/5, 24, , , , , 
2018/5/6, 31, , , , , 
2018/5/7, 29, , , , , 
2018/5/9, 49, , , , , 
2018/5/10, 24, , , , , 
2018/5/11, 25, , , , , 
2018/5/12, 47, , , , , 
2018/5/13, 24, , , , , 
2018/5/14, 35, , , , , 
2018/5/15, 53, , , , , 
2018/5/16, 36, , , , , 
